Welsh word,English meaning,Part of speech,Plural
a (+ Treiglad Llaes),and,,
a dweud y gwir,to be honest,,
ac ati,et cetera,,
actor,an actor,(gwr.),actorion
achos,because,,
adeilad,a building,(gwr.),
adeiladu,to build,,
adeiladwr,a builder,(gwr.),
adolygu,to revise,,
adre,home,,
e.e. ‘mynd adre’,to go home,,
afon,a river,(ben.),afonydd
afreolaidd,irregular,,
agor,to open,,
agos,near,,
angel,an angel,(gwr.),
angylion,angels,,
angen,to need,,
angen (gwr.) - a need; anghenion,needs,,
anghofio,to forget,,
anghywir,"incorrect, wrong",,
angor,an anchor,(gwr.),
ail,second,,
allan,out,,
allwedd,a key,(ben.),allweddi
am,about,,
ambiwlans,an ambulance,(gwr.),
ambiwlansys,ambulances,,
amgueddfa,a museum,(ben.),
amgueddfeydd,museums,,
aml,often,,
amser,"time, a time",(gwr.),
amser sbâr,spare time,,
anfon,to send,,
anifail,an animal,(gwr.),
anifeiliaid,animals,,
anifail anwes,a pet,(gwr.),
annwyd,a cold,(gwr.),anwydau
annwyl,"dear, beloved",,
anodd,difficult,,
anrheg,a gift,(ben.),anrhegion
apwyntiad,an appointment,(gwr.),
apwyntiadau,appointments,,
ar (+ Treiglad Meddal),on,,
ar gael,available,,
ar gyfer,for,,
ar hyn o bryd,at the moment,,
ar lan…,"on the banks of…, on the shore of",,
ar-lein,online,,
ar ôl,"after, following",,
ar unwaith,at once,,
ar werth,for sale,,
araf,slow,,
arall,other,,
arbennig,special,,
archebu,"to order, to book, to reserve",,
ardderchog,excellent,,
arholiad,an exam,(gwr.),
arian,"money, silver",(gwr.),
aros,to wait,,
ateb,to answer,,
ateb,an answer,(gwr.),atebion
athrawes,a female teacher,(ben.),
athrawesau,female teachers,,
athro,a male teacher,(gwr.),
athro cyflenwi,a supply teacher,(gwr.),
aur,gold,(gwr.),
awdur,an author,(gwr.),awduron
awr,an hour,(ben.),oriau
awyren,an aeroplane,(ben.),
babi,baby,(gwr.),babis
bach,small,,
bachgen,a boy,(gwr.),bechgyn
bag,a bag,(gwr.),bagiau
banana,a banana,(gwr.),
banc,a bank,(gwr.),banciau
bar,a bar,(gwr.),bariau
bara,bread,(gwr.),
bargen,a bargain,(ben.),
barn,opinion,(ben.),barnau
bechgyn,boys,,
bechod!,what a pity!,,
beic,a bike,(gwr.),beiciau
beic modur,a motor bike,(gwr.),
modur,motor bikes,,
bendigedig,fantastic,,
benthyg,"to borrow, to lend",,
berwi,to boil,,
beth?,what?,,
beth bynnag,"anyway, whatever",,
bisged,a biscuit,(ben.),
ble?,where?,,
blin,angry,,
blodyn,a flower,(gwr.),blodau
blwyddyn,a year,(ben.),
blynyddoedd,years,,
bod,to be,,
bol/bola,a stomach,(gwr.),
bore,a morning,(gwr.),
bowlio,to bowl,,
braf,fine,,
braich,an arm,(ben.),breichiau
brawd,a brother,(gwr.),
brecwast,a breakfast,(gwr.),
brecwastau,breakfasts,,
brechdan,a sandwich,(ben.),
brechdanau,sandwiches,,
breichiau,arms,,
bron,nearly,,
brws,a brush,(gwr.),brwsys
brwsio,to brush,,
brysio,to hurry,,
buan,soon,,
bugail,a shepherd,(gwr.),
bwletin,a bulletin,(gwr.),
bwrdd,a table,(gwr.),byrddau
bwrw eira,to snow,,
bwrw glaw,to rain,,
bws,a bus,(gwr.),bysiau
bwyd,food,(gwr.),bwydydd
bwydlen,a menu,(ben.),bwydlenni
bwydo,to feed,,
bwyta,to eat,,
byd,a world,(gwr.),bydoedd
byr,short,,
bys,a finger,(gwr.),bysedd
byth,"ever, never",,
byw,to live,,
cacen,a cake,(ben.),cacennau
cadair,a chair,(ben.),cadeiriau
cadw,"to keep, to reserve",,
cadw’n heini,to keep fit,,
cael,"to have, to get",,
caffi,a café,(gwr.),caffis
Calan Gaeaf,Halloween,,
Calan Mai,May Day,,
camera,a camera,(gwr.),
campfa,a gym,(ben.),campfeydd
cân,a song,(ben.),caneuon
canol,"centre, middle",(gwr.),
canolfan,a centre,(ben.),
canolfan (ben.) hamdden,leisure centre,,
canolfannau hamdden,leisure centres,,
cant,a hundred,(gwr.),
canu,to sing,,
